Date,Season,Home,Away,HG,AG,Result,Result-U/O,1,X,2,Week,HW,AW,HL,AL,HGF,AGF,HAGF,HGA,AGA,HAGA,HGD,AGD,HAGD,HWGD,AWGD,HAWGD,HLGD,ALGD,HALGD,HW%,HL%,AW%,AL%,HElo,AElo
2026-08-25,2026,Botafogo RJ,Athletico-PR,2.0,3.0,A,O,2.34,3.22,2.95,11,1.0,2.0,0.0,0.0,3.0,4.0,-1.0,2.0,1.0,1.0,1.0,3.0,-2.0,0.0,1.0,-1.0,0.0,0.0,0.0,40.0,20.0,36.4,45.5,1602.9,1567.2
2026-08-23,2026,Vitoria,Bahia,0.0,2.0,A,U,2.67,3.09,2.65,12,2.0,0.0,1.0,0.0,2.0,4.0,-2.0,4.0,4.0,0.0,-2.0,0.0,-2.0,0.0,0.0,0.0,1.0,0.0,1.0,72.7,18.2,36.4,27.3,1528.2,1563.3
2026-08-23,2026,Santos,Mirassol,1.0,1.0,D,U,1.73,3.63,4.46,13,1.0,0.0,1.0,2.0,5.0,2.0,3.0,5.0,5.0,0.0,0.0,-3.0,3.0,1.0,0.0,1.0,1.0,1.0,0.0,41.7,33.3,10.0,70.0,1515.3,1541.7
2026-08-23,2026,Palmeiras,Vasco,4.0,1.0,H,O,1.6,3.78,5.43,12,1.0,0.0,1.0,2.0,2.0,1.0,1.0,2.0,5.0,-3.0,0.0,-4.0,4.0,0.0,0.0,0.0,0.0,1.0,-1.0,63.6,9.1,0.0,50.0,1692.4,1484.3
2026-08-23,2026,Cruzeiro,Flamengo RJ,2.0,1.0,H,O,3.48,3.36,2.05,13,1.0,2.0,1.0,0.0,4.0,10.0,-6.0,3.0,2.0,1.0,1.0,8.0,-7.0,1.0,2.0,-1.0,0.0,0.0,0.0,41.7,25.0,58.3,16.7,1618.5,1701.0
2026-08-23,2026,Coritiba,Corinthians,2.0,1.0,H,O,2.84,2.87,2.68,12,1.0,2.0,2.0,0.0,3.0,6.0,-3.0,5.0,2.0,3.0,-2.0,4.0,-6.0,0.0,2.0,-2.0,1.0,0.0,1.0,36.4,36.4,27.3,27.3,1479.0,1562.4
2026-08-23,2026,Chapecoense-SC,Sao Paulo,1.0,0.0,H,U,3.94,3.23,1.96,12,0.0,0.0,2.0,2.0,5.0,2.0,3.0,10.0,4.0,6.0,-5.0,-2.0,-3.0,0.0,0.0,0.0,1.0,0.0,1.0,9.1,45.5,16.7,58.3,1341.5,1520.0
2026-08-23,2026,Bragantino,Gremio,1.0,0.0,H,U,1.57,3.89,5.47,12,1.0,0.0,1.0,2.0,3.0,2.0,1.0,3.0,6.0,-3.0,0.0,-4.0,4.0,1.0,0.0,1.0,1.0,1.0,0.0,45.5,36.4,0.0,63.6,1535.2,1522.3
2026-08-22,2026,Internacional,Atletico-MG,0.0,0.0,D,U,1.78,3.45,4.51,13,0.0,2.0,1.0,0.0,3.0,5.0,-2.0,4.0,3.0,1.0,-1.0,2.0,-3.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,41.7,33.3,58.3,1519.0,1560.2
2026-08-22,2026,Fluminense,Remo,2.0,1.0,H,O,1.48,3.96,6.93,13,1.0,0.0,0.0,2.0,4.0,2.0,2.0,3.0,6.0,-3.0,1.0,-4.0,5.0,0.0,0.0,0.0,0.0,1.0,-1.0,66.7,8.3,16.7,58.3,1621.8,1491.0
