Date,Season,Home,Away,HG,AG,Result,Result-U/O,1,X,2,HST,AST,HC,AC,Week,HW,AW,HL,AL,HGF,AGF,HAGF,HGA,AGA,HAGA,HGD,AGD,HAGD,HWGD,AWGD,HAWGD,HLGD,ALGD,HALGD,HW%,HL%,AW%,AL%,HSTF,ASTF,HCF,ACF,HElo,AElo
2026-08-27,2026,Celta,Osasuna,1,2,A,O,1.95,3.31,3.94,2,5,5,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1556.0,1493.4
2026-08-27,2026,Barcelona,Ath Bilbao,2,0,H,U,1.31,5.42,8.18,10,0,12,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1796.2,1523.2
2026-08-26,2026,Real Madrid,Sociedad,4,1,H,O,1.31,5.65,8.33,11,3,4,7,1,,,,,,,,,,,,,,,,,,,,,,0.0,100.0,,,,,1763.5,1509.8
2026-08-25,2026,Valencia,Betis,0,1,A,U,2.77,3.24,2.56,3,3,8,2,2,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,1545.8,1619.0
2026-08-24,2026,Osasuna,Levante,0,0,D,U,1.81,3.52,4.3,7,1,9,4,1,,,,,,,,,,,,,,,,,,,,,,0.0,100.0,,,,,1493.6,1486.6
2026-08-24,2026,Malaga,La Coruna,1,1,D,U,2.48,2.99,3.01,2,4,7,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1359.0,1398.1
2026-08-23,2026,Getafe,Santander,1,0,H,U,2.16,2.92,3.77,1,3,8,6,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1504.1,1504.0
2026-08-23,2026,Elche,Barcelona,0,5,A,O,8.42,5.49,1.31,2,7,3,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1469.6,1793.5
2026-08-23,2026,Ath Madrid,Villarreal,2,2,D,O,1.85,3.57,3.98,4,6,5,3,2,,,,,,,,,,,,,,,,,,,,100.0,0.0,0.0,0.0,,,,,1649.4,1641.7
2026-08-22,2026,Valencia,Celta,0,0,D,U,2.33,3.21,3.13,2,3,1,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1545.5,1556.3
2026-08-22,2026,Espanol,Real Madrid,1,2,A,O,7.36,4.59,1.41,3,8,0,8,2,,,,,,,,,,,,,,,,,,,,100.0,0.0,,,,,,,1492.3,1759.9
2026-08-22,2026,Ath Bilbao,Sevilla,1,3,A,O,1.7,3.56,5.13,8,4,10,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1534.4,1494.6
2026-08-21,2026,Betis,Sociedad,1,0,H,U,2.05,3.51,3.48,7,3,4,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611.6,1517.1
