Date,Season,Home,Away,HG,AG,Result,Result-U/O,1,X,2,HST,AST,HC,AC,Week,HW,AW,HL,AL,HGF,AGF,HAGF,HGA,AGA,HAGA,HGD,AGD,HAGD,HWGD,AWGD,HAWGD,HLGD,ALGD,HALGD,HW%,HL%,AW%,AL%,HSTF,ASTF,HCF,ACF,HElo,AElo
2026-08-23,2026,Rennes,Paris SG,2.0,2.0,D,O,5.44,4.57,1.5,3.0,5.0,0.0,10.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1604.2,1777.4
2026-08-23,2026,Le Havre,Monaco,0.0,1.0,A,U,3.64,3.82,1.87,4.0,7.0,7.0,4.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1488.4,1626.4
2026-08-23,2026,Angers,Lille,0.0,2.0,A,U,4.88,3.69,1.69,2.0,8.0,8.0,3.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1454.5,1658.6
2026-08-22,2026,Troyes,Paris FC,0.0,0.0,D,U,2.96,3.46,2.27,2.0,1.0,6.0,2.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1372.4,1549.6
2026-08-22,2026,Toulouse,Lyon,0.0,2.0,A,U,2.78,3.39,2.42,2.0,3.0,6.0,5.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1543.1,1633.5
2026-08-22,2026,Nice,Lorient,0.0,0.0,D,U,2.1,3.49,3.29,1.0,2.0,9.0,3.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1527.0,1524.3
2026-08-22,2026,Lens,Auxerre,5.0,2.0,H,O,1.55,4.23,5.37,9.0,4.0,4.0,7.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1661.2,1507.8
2026-08-22,2026,Le Mans,Brest,2.0,2.0,D,O,2.51,3.39,2.69,5.0,7.0,1.0,10.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1500.0,1532.1
2026-08-21,2026,Marseille,Strasbourg,4.0,0.0,H,O,1.72,4.05,4.28,8.0,2.0,3.0,4.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1628.9,1603.8
2026-05-17,2025,Strasbourg,Monaco,5.0,4.0,H,O,2.86,3.83,2.15,7.0,8.0,4.0,6.0,17,1.0,1.0,2.0,1.0,4.0,5.0,-1.0,6.0,7.0,-1.0,-2.0,-2.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,50.0,31.2,37.5,37.5,11.0,13.0,14.0,22.0,1592.6,1637.7
