Date,Season,Home,Away,HG,AG,Result,Result-U/O,1,X,2,HST,AST,HC,AC,Week,HW,AW,HL,AL,HGF,AGF,HAGF,HGA,AGA,HAGA,HGD,AGD,HAGD,HWGD,AWGD,HAWGD,HLGD,ALGD,HALGD,HW%,HL%,AW%,AL%,HSTF,ASTF,HCF,ACF,HElo,AElo
2026-08-24,2026,Gil Vicente,Casa Pia,2.0,0.0,H,U,1.68,3.43,5.08,4.0,2.0,3.0,4.0,2,,,,,,,,,,,,,,,,,,,,100.0,0.0,0.0,100.0,,,,,1531.4,1457.0
2026-08-23,2026,Santa Clara,Famalicao,1.0,0.0,H,U,2.61,2.95,2.78,2.0,3.0,1.0,9.0,2,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,1519.3,1588.5
2026-08-23,2026,Porto,Arouca,2.0,0.0,H,U,1.21,5.79,11.96,10.0,1.0,12.0,2.0,2,,,,,,,,,,,,,,,,,,,,100.0,0.0,100.0,0.0,,,,,1825.4,1548.3
2026-08-23,2026,Guimaraes,Nacional,1.0,0.0,H,U,1.68,3.71,4.68,5.0,0.0,4.0,3.0,2,,,,,,,,,,,,,,,,,,,,0.0,100.0,0.0,0.0,,,,,1530.5,1450.3
2026-08-22,2026,Sp Lisbon,Alverca,3.0,1.0,H,O,1.2,6.25,11.23,7.0,3.0,3.0,4.0,2,,,,,,,,,,,,,,,,,,,,100.0,0.0,0.0,100.0,,,,,1843.0,1498.4
2026-08-22,2026,Maritimo,Academico Viseu,2.0,2.0,D,O,2.0,3.28,3.65,4.0,7.0,4.0,5.0,2,,,,,,,,,,,,,,,,,,,,100.0,0.0,0.0,0.0,,,,,1449.1,1497.5
2026-08-22,2026,Estoril,Rio Ave,0.0,2.0,A,U,1.9,3.57,3.72,6.0,3.0,6.0,3.0,2,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,100.0,,,,,1495.8,1480.0
2026-08-17,2026,Casa Pia,Benfica,0.0,7.0,A,O,11.72,6.05,1.21,0.0,8.0,1.0,3.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1459.1,1826.9
2026-08-16,2026,Nacional,Estoril,2.0,0.0,H,U,2.61,3.33,2.54,3.0,5.0,7.0,4.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1438.3,1507.8
2026-08-16,2026,Famalicao,Maritimo,1.0,2.0,A,O,1.78,3.5,4.35,4.0,4.0,5.0,1.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1603.0,1434.6
2026-08-16,2026,Arouca,Moreirense,4.0,0.0,H,O,2.07,3.26,3.46,6.0,1.0,5.0,3.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1539.0,1514.3
2026-08-15,2026,Rio Ave,Porto,0.0,2.0,A,U,7.38,4.51,1.4,1.0,6.0,6.0,6.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1482.4,1823.0
2026-08-15,2026,Alverca,Estrela,2.0,2.0,D,O,2.15,3.25,3.28,4.0,7.0,2.0,0.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1500.0,1443.4
2026-08-15,2026,Academico Viseu,Santa Clara,0.0,1.0,A,U,2.84,3.17,2.45,1.0,2.0,4.0,2.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1507.5,1509.4
2026-08-14,2026,Sp Lisbon,Guimaraes,3.0,2.0,H,O,1.31,5.22,8.46,3.0,3.0,5.0,1.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1840.0,1533.4
2026-08-10,2026,Santa Clara,Nacional,2.0,2.0,D,O,1.85,3.32,4.17,7.0,4.0,4.0,4.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1511.5,1436.2
