Date,Season,Home,Away,HG,AG,Result,Result-U/O,1,X,2,HST,AST,HC,AC,Week,HW,AW,HL,AL,HGF,AGF,HAGF,HGA,AGA,HAGA,HGD,AGD,HAGD,HWGD,AWGD,HAWGD,HLGD,ALGD,HALGD,HW%,HL%,AW%,AL%,HSTF,ASTF,HCF,ACF,HElo,AElo
2026-08-24,2026,Roma,Fiorentina,4.0,0.0,H,O,1.57,3.95,5.76,8.0,4.0,2.0,3.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1692.7,1581.8
2026-08-24,2026,Bologna,Lazio,0.0,1.0,A,U,2.2,3.21,3.35,5.0,3.0,8.0,6.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1608.0,1614.8
2026-08-23,2026,Venezia,Lecce,0.0,2.0,A,U,2.23,3.13,3.38,7.0,5.0,5.0,3.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1431.5,1480.2
2026-08-23,2026,Torino,Milan,1.0,2.0,A,O,4.49,3.59,1.76,1.0,4.0,2.0,4.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1530.1,1659.1
2026-08-23,2026,Frosinone,Juventus,0.0,1.0,A,U,7.2,4.39,1.43,2.0,5.0,3.0,12.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1420.1,1687.9
2026-08-23,2026,Atalanta,Sassuolo,2.0,1.0,H,O,1.51,4.23,5.94,7.0,8.0,4.0,4.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1647.1,1509.6
2026-08-22,2026,Udinese,Como,1.0,1.0,D,U,4.5,3.48,1.81,3.0,6.0,1.0,10.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1533.9,1651.3
2026-08-22,2026,Parma,Cagliari,0.0,1.0,A,U,2.5,3.0,3.01,2.0,5.0,3.0,2.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1511.9,1503.4
2026-08-22,2026,Inter,Monza,4.0,1.0,H,O,1.19,6.66,13.73,5.0,3.0,3.0,3.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1793.3,1390.8
2026-08-22,2026,Genoa,Napoli,0.0,2.0,A,U,4.51,3.28,1.87,2.0,4.0,5.0,5.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1516.1,1712.9
2026-05-24,2025,Verona,Roma,0.0,2.0,A,U,9.84,5.01,1.3,3.0,7.0,6.0,6.0,19,0.0,2.0,2.0,1.0,0.0,7.0,-7.0,2.0,7.0,-5.0,-2.0,0.0,-2.0,0.0,1.0,-1.0,0.0,1.0,-1.0,5.6,66.7,50.0,44.4,8.0,12.0,15.0,17.0,1412.3,1689.4
2026-05-24,2025,Torino,Juventus,2.0,2.0,D,O,7.23,4.45,1.4,5.0,4.0,6.0,6.0,19,2.0,2.0,0.0,0.0,6.0,2.0,4.0,4.0,0.0,4.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.4,38.9,50.0,27.8,8.0,13.0,15.0,12.0,1525.7,1692.3
2026-05-24,2025,Parma,Sassuolo,1.0,0.0,H,U,2.61,3.3,2.55,3.0,1.0,1.0,1.0,19,1.0,0.0,1.0,2.0,4.0,2.0,2.0,4.0,4.0,0.0,0.0,-2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,22.2,44.4,27.8,44.4,10.0,14.0,13.0,12.0,1501.4,1520.2
2026-05-24,2025,Napoli,Udinese,1.0,0.0,H,U,1.47,4.07,6.72,6.0,3.0,3.0,3.0,19,1.0,2.0,2.0,0.0,6.0,8.0,-2.0,5.0,3.0,2.0,1.0,5.0,-4.0,1.0,2.0,-1.0,1.0,0.0,1.0,66.7,11.1,44.4,38.9,14.0,19.0,26.0,12.0,1707.3,1539.4
2026-05-24,2025,Milan,Cagliari,1.0,2.0,A,O,1.26,5.3,10.35,3.0,10.0,5.0,5.0,19,0.0,0.0,2.0,2.0,2.0,1.0,1.0,6.0,5.0,1.0,-4.0,-4.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,50.0,22.2,16.7,50.0,13.0,6.0,7.0,13.0,1674.0,1488.5
2026-05-24,2025,Lecce,Genoa,1.0,0.0,H,U,1.73,3.42,4.84,4.0,1.0,1.0,6.0,19,0.0,1.0,2.0,0.0,1.0,2.0,-1.0,5.0,1.0,4.0,-4.0,1.0,-5.0,0.0,0.0,0.0,1.0,0.0,1.0,22.2,50.0,22.2,38.9,7.0,10.0,8.0,10.0,1468.5,1527.8
