Date,Season,Home,Away,HG,AG,Result,Result-U/O,1,X,2,Week,HW,AW,HL,AL,HGF,AGF,HAGF,HGA,AGA,HAGA,HGD,AGD,HAGD,HWGD,AWGD,HAWGD,HLGD,ALGD,HALGD,HW%,HL%,AW%,AL%,HElo,AElo
2026-08-23,2026,TPS,Inter Turku,0,0,D,U,4.0,3.33,1.83,11,2.0,2.0,1.0,0.0,7.0,4.0,3.0,3.0,2.0,1.0,4.0,2.0,2.0,2.0,0.0,2.0,1.0,0.0,1.0,70.0,20.0,60.0,10.0,1508.2,1665.1
2026-08-23,2026,KuPS,Mariehamn,2,4,A,O,1.32,5.08,7.3,11,2.0,0.0,0.0,3.0,8.0,2.0,6.0,5.0,9.0,-4.0,3.0,-7.0,10.0,1.0,0.0,1.0,0.0,3.0,-3.0,60.0,0.0,0.0,90.0,1755.5,1411.2
2026-08-23,2026,HJK,Gnistan,2,3,A,O,1.57,4.11,4.58,11,3.0,2.0,0.0,0.0,6.0,6.0,0.0,1.0,3.0,-2.0,5.0,3.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,60.0,20.0,30.0,30.0,1623.7,1562.2
2026-08-22,2026,Jaro,AC Oulu,0,1,A,U,3.45,3.52,1.91,11,1.0,0.0,1.0,2.0,3.0,2.0,1.0,4.0,9.0,-5.0,-1.0,-7.0,6.0,0.0,0.0,0.0,1.0,2.0,-1.0,30.0,30.0,30.0,50.0,1448.6,1502.9
2026-08-22,2026,Ilves,VPS,0,1,A,U,2.23,3.43,2.79,10,2.0,1.0,0.0,2.0,5.0,5.0,0.0,2.0,6.0,-4.0,3.0,-1.0,4.0,1.0,1.0,0.0,0.0,1.0,-1.0,66.7,22.2,30.0,40.0,1601.8,1546.2
2026-08-21,2026,SJK,Lahti,1,2,A,O,2.79,3.4,2.25,11,1.0,1.0,1.0,1.0,5.0,2.0,3.0,4.0,1.0,3.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,30.0,40.0,22.2,55.6,1566.8,1501.7
2026-08-17,2026,Gnistan,Ilves,3,2,H,O,2.68,3.43,2.32,10,1.0,1.0,1.0,2.0,5.0,4.0,1.0,4.0,4.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,55.6,33.3,10.0,60.0,1550.4,1613.6
2026-08-16,2026,Lahti,KuPS,1,2,A,O,2.62,3.29,2.43,11,3.0,3.0,0.0,0.0,5.0,7.0,-2.0,0.0,0.0,0.0,5.0,7.0,-2.0,2.0,2.0,0.0,0.0,0.0,0.0,50.0,20.0,55.6,11.1,1505.6,1751.6
2026-08-16,2026,HJK,Jaro,3,0,H,O,1.3,5.18,7.45,10,2.0,0.0,1.0,3.0,3.0,2.0,1.0,5.0,10.0,-5.0,-2.0,-8.0,6.0,0.0,0.0,0.0,1.0,2.0,-1.0,55.6,22.2,0.0,77.8,1618.0,1454.2
2026-08-16,2026,AC Oulu,Inter Turku,2,3,A,O,2.91,3.21,2.25,10,1.0,2.0,2.0,0.0,1.0,3.0,-2.0,3.0,0.0,3.0,-2.0,3.0,-5.0,0.0,1.0,-1.0,1.0,0.0,1.0,66.7,22.2,55.6,11.1,1508.8,1659.2
